Date,Transaction,Name,Memo,Amount
05/04/2026,DEBIT,IDP PURCHASE - 6152 PIZZA NOVA #941 ON,,-18.32
05/14/2026,DEBIT,IDP PURCHASE - 5570 TIM HORTONS #2815 TORONTO ON,,-11.30
05/15/2026,DEBIT,IDP PURCHASE - 4795 CANADIAN TIRE #4575 ON,,-168.62
05/15/2026,CREDIT,PAYROLL DEPOSIT MAPLE HEALTH GROUP,,1966.44
05/16/2026,DEBIT,TFSA CONTRIBUTION TANGERINE INVESTMENT,,-350.00
05/21/2026,DEBIT,IDP PURCHASE - 8492 TIM HORTONS #3839 TORONTO ON,,-12.55
05/21/2026,DEBIT,IDP PURCHASE - 9416 STARBUCKS #1019 TORONTO ON,,-11.68
05/24/2026,DEBIT,IDP PURCHASE - 8121 LOBLAWS #3771 TORONTO ON,,-155.09
05/30/2026,DEBIT,IDP PURCHASE - 3509 DOLLARAMA #2083 ON,,-26.96
05/30/2026,CREDIT,PAYROLL DEPOSIT MAPLE HEALTH GROUP,,1996.44
06/10/2026,DEBIT,IDP PURCHASE - 1455 PETRO-CANADA #1932 ON,,-45.82
06/12/2026,DEBIT,IDP PURCHASE - 7851 STARBUCKS #2800 TORONTO ON,,-9.27
06/15/2026,DEBIT,IDP PURCHASE - 8981 HOME DEPOT #4539 ON,,-208.78
06/15/2026,CREDIT,PAYROLL DEPOSIT MAPLE HEALTH GROUP,,1944.44
06/16/2026,DEBIT,TFSA CONTRIBUTION TANGERINE INVESTMENT,,-350.00
06/22/2026,DEBIT,DONATION UNITED WAY MISC PAYMENT,,-50.00
06/30/2026,CREDIT,PAYROLL DEPOSIT MAPLE HEALTH GROUP,,1979.44
07/12/2026,DEBIT,IDP PURCHASE - 6799 PETRO-CANADA #1950 ON,,-66.76
07/15/2026,CREDIT,PAYROLL DEPOSIT MAPLE HEALTH GROUP,,1963.44
07/16/2026,DEBIT,TFSA CONTRIBUTION TANGERINE INVESTMENT,,-350.00
07/19/2026,DEBIT,IDP PURCHASE - 2039 TIM HORTONS #4585 TORONTO ON,,-11.06
07/20/2026,DEBIT,IDP PURCHASE - 5110 PIZZA NOVA #802 ON,,-44.40
07/22/2026,DEBIT,IDP PURCHASE - 3493 SWISS CHALET #3823 ON,,-55.58
07/28/2026,DEBIT,IDP PURCHASE - 9818 STARBUCKS #2826 TORONTO ON,,-8.18
07/30/2026,CREDIT,PAYROLL DEPOSIT MAPLE HEALTH GROUP,,1960.44
08/03/2026,DEBIT,IDP PURCHASE - 7668 STARBUCKS #4502 TORONTO ON,,-10.27
08/04/2026,DEBIT,IDP PURCHASE - 3614 WINNERS #1324 ON,,-132.57
08/05/2026,DEBIT,IDP PURCHASE - 7123 TIM HORTONS #2250 TORONTO ON,,-10.79
08/11/2026,DEBIT,IDP PURCHASE - 2534 LOBLAWS #2824 TORONTO ON,,-160.96
08/14/2026,DEBIT,IDP PURCHASE - 4785 STARBUCKS #3364 TORONTO ON,,-9.27
08/15/2026,DEBIT,IDP PURCHASE - 5428 TIM HORTONS #4035 TORONTO ON,,-12.38
08/15/2026,CREDIT,PAYROLL DEPOSIT MAPLE HEALTH GROUP,,1978.44
08/16/2026,DEBIT,TFSA CONTRIBUTION TANGERINE INVESTMENT,,-350.00
08/22/2026,DEBIT,DONATION UNITED WAY MISC PAYMENT,,-50.00
08/27/2026,DEBIT,IDP PURCHASE - 9293 CANADIAN TIRE #3443 ON,,-32.88
08/30/2026,DEBIT,AMZ*UBER EATS TORONTO ON,,-50.57
08/30/2026,CREDIT,PAYROLL DEPOSIT MAPLE HEALTH GROUP,,1963.44
